departamento,provincia,distrito,id,costo_despacho_sin_recojo,costo_despacho_con_recojo,dias_despacho
Amazonas,Chachapoyas,Chachapoyas,1,17,17,8
Amazonas,Chachapoyas,Asunción,2,17,17,8
Amazonas,Chachapoyas,Balsas,3,17,17,8
Amazonas,Chachapoyas,Cheto,4,17,17,8
Amazonas,Chachapoyas,Chiliquin,5,17,17,8
Amazonas,Chachapoyas,Chuquibamba,6,17,17,8
Amazonas,Chachapoyas,Granada,7,17,17,8
Amazonas,Chachapoyas,Huancas,8,17,17,8
Amazonas,Chachapoyas,La Jalca,9,17,17,8
Amazonas,Chachapoyas,Leimebamba,10,17,17,8
Amazonas,Chachapoyas,Levanto,11,17,17,8
Amazonas,Chachapoyas,Magdalena,12,17,17,8
Amazonas,Chachapoyas,Mariscal Castilla,13,17,17,8
Amazonas,Chachapoyas,Molinopampa,14,17,17,8
Amazonas,Chachapoyas,Montevideo,15,17,17,8
Amazonas,Chachapoyas,Olleros,16,17,17,8
Amazonas,Chachapoyas,Quinjalca,17,17,17,8
Amazonas,Chachapoyas,San Francisco de Daguas,18,17,17,8
Amazonas,Chachapoyas,San Isidro de Maino,19,17,17,8
Amazonas,Chachapoyas,Soloco,20,17,17,8
Amazonas,Chachapoyas,Sonche,21,17,17,8
Amazonas,Bagua,Bagua,22,17,17,8
Amazonas,Bagua,Aramango,23,17,17,8
Amazonas,Bagua,Copallin,24,17,17,8
Amazonas,Bagua,El Parco,25,17,17,8
Amazonas,Bagua,Imaza,26,17,17,8
Amazonas,Bagua,La Peca,27,17,17,8
Amazonas,Bongará,Jumbilla,28,17,17,8
Amazonas,Bongará,Chisquilla,29,17,17,8
Amazonas,Bongará,Churuja,30,17,17,8
Amazonas,Bongará,Corosha,31,17,17,8
Amazonas,Bongará,Cuispes,32,17,17,8
Amazonas,Bongará,Florida,33,17,17,8
Amazonas,Bongará,Jazan,34,17,17,8
Amazonas,Bongará,Recta,35,17,17,8
Amazonas,Bongará,San Carlos,36,17,17,8
Amazonas,Bongará,Shipasbamba,37,17,17,8
Amazonas,Bongará,Valera,38,17,17,8
Amazonas,Bongará,Yambrasbamba,39,17,17,8
Amazonas,Condorcanqui,Nieva,40,17,17,8
Amazonas,Condorcanqui,El Cenepa,41,17,17,8
Amazonas,Condorcanqui,Río Santiago,42,17,17,8
Amazonas,Luya,Lamud,43,17,17,8
Amazonas,Luya,Camporredondo,44,17,17,8
Amazonas,Luya,Cocabamba,45,17,17,8
Amazonas,Luya,Colcamar,46,17,17,8
Amazonas,Luya,Conila,47,17,17,8
Amazonas,Luya,Inguilpata,48,17,17,8
Amazonas,Luya,Longuita,49,17,17,8
Amazonas,Luya,Lonya Chico,50,17,17,8
Amazonas,Luya,Luya,51,17,17,8
Amazonas,Luya,Luya Viejo,52,17,17,8
Amazonas,Luya,María,53,17,17,8
Amazonas,Luya,Ocalli,54,17,17,8
Amazonas,Luya,Ocumal,55,17,17,8
Amazonas,Luya,Pisuquia,56,17,17,8
Amazonas,Luya,Providencia,57,17,17,8
Amazonas,Luya,San Cristóbal,58,17,17,8
Amazonas,Luya,San Francisco de Yeso,59,17,17,8
Amazonas,Luya,San Jerónimo,60,17,17,8
Amazonas,Luya,San Juan de Lopecancha,61,17,17,8
Amazonas,Luya,Santa Catalina,62,17,17,8
Amazonas,Luya,Santo Tomas,63,17,17,8
Amazonas,Luya,Tingo,64,17,17,8
Amazonas,Luya,Trita,65,17,17,8
Amazonas,Rodríguez de Mendoza,San Nicolás,66,17,17,8
Amazonas,Rodríguez de Mendoza,Chirimoto,67,17,17,8
Amazonas,Rodríguez de Mendoza,Cochamal,68,17,17,8
Amazonas,Rodríguez de Mendoza,Huambo,69,17,17,8
Amazonas,Rodríguez de Mendoza,Limabamba,70,17,17,8
Amazonas,Rodríguez de Mendoza,Longar,71,17,17,8
Amazonas,Rodríguez de Mendoza,Mariscal Benavides,72,17,17,8
Amazonas,Rodríguez de Mendoza,Milpuc,73,17,17,8
Amazonas,Rodríguez de Mendoza,Omia,74,17,17,8
Amazonas,Rodríguez de Mendoza,Santa Rosa,75,17,17,8
Amazonas,Rodríguez de Mendoza,Totora,76,17,17,8
Amazonas,Rodríguez de Mendoza,Vista Alegre,77,17,17,8
Amazonas,Utcubamba,Bagua Grande,78,17,17,8
Amazonas,Utcubamba,Cajaruro,79,17,17,8
Amazonas,Utcubamba,Cumba,80,17,17,8
Amazonas,Utcubamba,El Milagro,81,17,17,8
Amazonas,Utcubamba,Jamalca,82,17,17,8
Amazonas,Utcubamba,Lonya Grande,83,17,17,8
Amazonas,Utcubamba,Yamon,84,17,17,8
Áncash,Huaraz,Huaraz,85,17,17,8
Áncash,Huaraz,Cochabamba,86,17,17,8
Áncash,Huaraz,Colcabamba,87,17,17,8
Áncash,Huaraz,Huanchay,88,17,17,8
Áncash,Huaraz,Independencia,89,17,17,8
Áncash,Huaraz,Jangas,90,17,17,8
Áncash,Huaraz,La Libertad,91,17,17,8
Áncash,Huaraz,Olleros,92,17,17,8
Áncash,Huaraz,Pampas Grande,93,17,17,8
Áncash,Huaraz,Pariacoto,94,17,17,8
Áncash,Huaraz,Pira,95,17,17,8
Áncash,Huaraz,Tarica,96,17,17,8
Áncash,Aija,Aija,97,17,17,8
Áncash,Aija,Coris,98,17,17,8
Áncash,Aija,Huacllan,99,17,17,8
Áncash,Aija,La Merced,100,17,17,8
Áncash,Aija,Succha,101,17,17,8
Áncash,Antonio Raymondi,Llamellin,102,17,17,8
Áncash,Antonio Raymondi,Aczo,103,17,17,8
Áncash,Antonio Raymondi,Chaccho,104,17,17,8
Áncash,Antonio Raymondi,Chingas,105,17,17,8
Áncash,Antonio Raymondi,Mirgas,106,17,17,8
Áncash,Antonio Raymondi,San Juan de Rontoy,107,17,17,8
Áncash,Asunción,Chacas,108,17,17,8
Áncash,Asunción,Acochaca,109,17,17,8
Áncash,Bolognesi,Chiquian,110,17,17,8
Áncash,Bolognesi,Abelardo Pardo Lezameta,111,17,17,8
Áncash,Bolognesi,Antonio Raymondi,112,17,17,8
Áncash,Bolognesi,Aquia,113,17,17,8
Áncash,Bolognesi,Cajacay,114,17,17,8
Áncash,Bolognesi,Canis,115,17,17,8
Áncash,Bolognesi,Colquioc,116,17,17,8
Áncash,Bolognesi,Huallanca,117,17,17,8
Áncash,Bolognesi,Huasta,118,17,17,8
Áncash,Bolognesi,Huayllacayan,119,17,17,8
Áncash,Bolognesi,La Primavera,120,17,17,8
Áncash,Bolognesi,Mangas,121,17,17,8
Áncash,Bolognesi,Pacllon,122,17,17,8
Áncash,Bolognesi,San Miguel de Corpanqui,123,17,17,8
Áncash,Bolognesi,Ticllos,124,17,17,8
Áncash,Carhuaz,Carhuaz,125,17,17,8
Áncash,Carhuaz,Acopampa,126,17,17,8
Áncash,Carhuaz,Amashca,127,17,17,8
Áncash,Carhuaz,Anta,128,17,17,8
Áncash,Carhuaz,Ataquero,129,17,17,8
Áncash,Carhuaz,Marcara,130,17,17,8
Áncash,Carhuaz,Pariahuanca,131,17,17,8
Áncash,Carhuaz,San Miguel de Aco,132,17,17,8
Áncash,Carhuaz,Shilla,133,17,17,8
Áncash,Carhuaz,Tinco,134,17,17,8
Áncash,Carhuaz,Yungar,135,17,17,8
Áncash,Carlos Fermín Fitzcarrald,San Luis,136,17,17,8
Áncash,Carlos Fermín Fitzcarrald,San Nicolás,137,17,17,8
Áncash,Carlos Fermín Fitzcarrald,Yauya,138,17,17,8
Áncash,Casma,Casma,139,17,17,8
Áncash,Casma,Buena Vista Alta,140,17,17,8
Áncash,Casma,Comandante Noel,141,17,17,8
Áncash,Casma,Yautan,142,17,17,8
Áncash,Corongo,Corongo,143,17,17,8
Áncash,Corongo,Aco,144,17,17,8
Áncash,Corongo,Bambas,145,17,17,8
Áncash,Corongo,Cusca,146,17,17,8
Áncash,Corongo,La Pampa,147,17,17,8
Áncash,Corongo,Yanac,148,17,17,8
Áncash,Corongo,Yupan,149,17,17,8
Áncash,Huari,Huari,150,17,17,8
Áncash,Huari,Anra,151,17,17,8
Áncash,Huari,Cajay,152,17,17,8
Áncash,Huari,Chavin de Huantar,153,17,17,8
Áncash,Huari,Huacachi,154,17,17,8
Áncash,Huari,Huacchis,155,17,17,8
Áncash,Huari,Huachis,156,17,17,8
Áncash,Huari,Huantar,157,17,17,8
Áncash,Huari,Masin,158,17,17,8
Áncash,Huari,Paucas,159,17,17,8
Áncash,Huari,Ponto,160,17,17,8
Áncash,Huari,Rahuapampa,161,17,17,8
Áncash,Huari,Rapayan,162,17,17,8
Áncash,Huari,San Marcos,163,17,17,8
Áncash,Huari,San Pedro de Chana,164,17,17,8
Áncash,Huari,Uco,165,17,17,8
Áncash,Huarmey,Huarmey,166,17,17,8
Áncash,Huarmey,Cochapeti,167,17,17,8
Áncash,Huarmey,Culebras,168,17,17,8
Áncash,Huarmey,Huayan,169,17,17,8
Áncash,Huarmey,Malvas,170,17,17,8
Áncash,Huaylas,Caraz,171,17,17,8
Áncash,Huaylas,Huallanca,172,17,17,8
Áncash,Huaylas,Huata,173,17,17,8
Áncash,Huaylas,Huaylas,174,17,17,8
Áncash,Huaylas,Mato,175,17,17,8
Áncash,Huaylas,Pamparomas,176,17,17,8
Áncash,Huaylas,Pueblo Libre,177,17,17,8
Áncash,Huaylas,Santa Cruz,178,17,17,8
Áncash,Huaylas,Santo Toribio,179,17,17,8
Áncash,Huaylas,Yuracmarca,180,17,17,8
Áncash,Mariscal Luzuriaga,Piscobamba,181,17,17,8
Áncash,Mariscal Luzuriaga,Casca,182,17,17,8
Áncash,Mariscal Luzuriaga,Eleazar Guzmán Barron,183,17,17,8
Áncash,Mariscal Luzuriaga,Fidel Olivas Escudero,184,17,17,8
Áncash,Mariscal Luzuriaga,Llama,185,17,17,8
Áncash,Mariscal Luzuriaga,Llumpa,186,17,17,8
Áncash,Mariscal Luzuriaga,Lucma,187,17,17,8
Áncash,Mariscal Luzuriaga,Musga,188,17,17,8
Áncash,Ocros,Ocros,189,17,17,8
Áncash,Ocros,Acas,190,17,17,8
Áncash,Ocros,Cajamarquilla,191,17,17,8
Áncash,Ocros,Carhuapampa,192,17,17,8
Áncash,Ocros,Cochas,193,17,17,8
Áncash,Ocros,Congas,194,17,17,8
Áncash,Ocros,Llipa,195,17,17,8
Áncash,Ocros,San Cristóbal de Rajan,196,17,17,8
Áncash,Ocros,San Pedro,197,17,17,8
Áncash,Ocros,Santiago de Chilcas,198,17,17,8
Áncash,Pallasca,Cabana,199,17,17,8
Áncash,Pallasca,Bolognesi,200,17,17,8
Áncash,Pallasca,Conchucos,201,17,17,8
Áncash,Pallasca,Huacaschuque,202,17,17,8
Áncash,Pallasca,Huandoval,203,17,17,8
Áncash,Pallasca,Lacabamba,204,17,17,8
Áncash,Pallasca,Llapo,205,17,17,8
Áncash,Pallasca,Pallasca,206,17,17,8
Áncash,Pallasca,Pampas,207,17,17,8
Áncash,Pallasca,Santa Rosa,208,17,17,8
Áncash,Pallasca,Tauca,209,17,17,8
Áncash,Pomabamba,Pomabamba,210,17,17,8
Áncash,Pomabamba,Huayllan,211,17,17,8
Áncash,Pomabamba,Parobamba,212,17,17,8
Áncash,Pomabamba,Quinuabamba,213,17,17,8
Áncash,Recuay,Recuay,214,17,17,8
Áncash,Recuay,Catac,215,17,17,8
Áncash,Recuay,Cotaparaco,216,17,17,8
Áncash,Recuay,Huayllapampa,217,17,17,8
Áncash,Recuay,Llacllin,218,17,17,8
Áncash,Recuay,Marca,219,17,17,8
Áncash,Recuay,Pampas Chico,220,17,17,8
Áncash,Recuay,Pararin,221,17,17,8
Áncash,Recuay,Tapacocha,222,17,17,8
Áncash,Recuay,Ticapampa,223,17,17,8
Áncash,Santa,Chimbote,224,17,17,8
Áncash,Santa,Cáceres del Perú,225,17,17,8
Áncash,Santa,Coishco,226,17,17,8
Áncash,Santa,Macate,227,17,17,8
Áncash,Santa,Moro,228,17,17,8
Áncash,Santa,Nepeña,229,17,17,8
Áncash,Santa,Samanco,230,17,17,8
Áncash,Santa,Santa,231,17,17,8
Áncash,Santa,Nuevo Chimbote,232,17,17,8
Áncash,Sihuas,Sihuas,233,17,17,8
Áncash,Sihuas,Acobamba,234,17,17,8
Áncash,Sihuas,Alfonso Ugarte,235,17,17,8
Áncash,Sihuas,Cashapampa,236,17,17,8
Áncash,Sihuas,Chingalpo,237,17,17,8
Áncash,Sihuas,Huayllabamba,238,17,17,8
Áncash,Sihuas,Quiches,239,17,17,8
Áncash,Sihuas,Ragash,240,17,17,8
Áncash,Sihuas,San Juan,241,17,17,8
Áncash,Sihuas,Sicsibamba,242,17,17,8
Áncash,Yungay,Yungay,243,17,17,8
Áncash,Yungay,Cascapara,244,17,17,8
Áncash,Yungay,Mancos,245,17,17,8
Áncash,Yungay,Matacoto,246,17,17,8
Áncash,Yungay,Quillo,247,17,17,8
Áncash,Yungay,Ranrahirca,248,17,17,8
Áncash,Yungay,Shupluy,249,17,17,8
Áncash,Yungay,Yanama,250,17,17,8
Apurímac,Abancay,Abancay,251,17,17,8
Apurímac,Abancay,Chacoche,252,17,17,8
Apurímac,Abancay,Circa,253,17,17,8
Apurímac,Abancay,Curahuasi,254,17,17,8
Apurímac,Abancay,Huanipaca,255,17,17,8
Apurímac,Abancay,Lambrama,256,17,17,8
Apurímac,Abancay,Pichirhua,257,17,17,8
Apurímac,Abancay,San Pedro de Cachora,258,17,17,8
Apurímac,Abancay,Tamburco,259,17,17,8
Apurímac,Andahuaylas,Andahuaylas,260,17,17,8
Apurímac,Andahuaylas,Andarapa,261,17,17,8
Apurímac,Andahuaylas,Chiara,262,17,17,8
Apurímac,Andahuaylas,Huancarama,263,17,17,8
Apurímac,Andahuaylas,Huancaray,264,17,17,8
Apurímac,Andahuaylas,Huayana,265,17,17,8
Apurímac,Andahuaylas,Kishuara,266,17,17,8
Apurímac,Andahuaylas,Pacobamba,267,17,17,8
Apurímac,Andahuaylas,Pacucha,268,17,17,8
Apurímac,Andahuaylas,Pampachiri,269,17,17,8
Apurímac,Andahuaylas,Pomacocha,270,17,17,8
Apurímac,Andahuaylas,San Antonio de Cachi,271,17,17,8
Apurímac,Andahuaylas,San Jerónimo,272,17,17,8
Apurímac,Andahuaylas,San Miguel de Chaccrampa,273,17,17,8
Apurímac,Andahuaylas,Santa María de Chicmo,274,17,17,8
Apurímac,Andahuaylas,Talavera,275,17,17,8
Apurímac,Andahuaylas,Tumay Huaraca,276,17,17,8
Apurímac,Andahuaylas,Turpo,277,17,17,8
Apurímac,Andahuaylas,Kaquiabamba,278,17,17,8
Apurímac,Andahuaylas,José María Arguedas,279,17,17,8
Apurímac,Antabamba,Antabamba,280,17,17,8
Apurímac,Antabamba,El Oro,281,17,17,8
Apurímac,Antabamba,Huaquirca,282,17,17,8
Apurímac,Antabamba,Juan Espinoza Medrano,283,17,17,8
Apurímac,Antabamba,Oropesa,284,17,17,8
Apurímac,Antabamba,Pachaconas,285,17,17,8
Apurímac,Antabamba,Sabaino,286,17,17,8
Apurímac,Aymaraes,Chalhuanca,287,17,17,8
Apurímac,Aymaraes,Capaya,288,17,17,8
Apurímac,Aymaraes,Caraybamba,289,17,17,8
Apurímac,Aymaraes,Chapimarca,290,17,17,8
Apurímac,Aymaraes,Colcabamba,291,17,17,8
Apurímac,Aymaraes,Cotaruse,292,17,17,8
Apurímac,Aymaraes,Ihuayllo,293,17,17,8
Apurímac,Aymaraes,Justo Apu Sahuaraura,294,17,17,8
Apurímac,Aymaraes,Lucre,295,17,17,8
Apurímac,Aymaraes,Pocohuanca,296,17,17,8
Apurímac,Aymaraes,San Juan de Chacña,297,17,17,8
Apurímac,Aymaraes,Sañayca,298,17,17,8
Apurímac,Aymaraes,Soraya,299,17,17,8
Apurímac,Aymaraes,Tapairihua,300,17,17,8
Apurímac,Aymaraes,Tintay,301,17,17,8
Apurímac,Aymaraes,Toraya,302,17,17,8
Apurímac,Aymaraes,Yanaca,303,17,17,8
Apurímac,Cotabambas,Tambobamba,304,17,17,8
Apurímac,Cotabambas,Cotabambas,305,17,17,8
Apurímac,Cotabambas,Coyllurqui,306,17,17,8
Apurímac,Cotabambas,Haquira,307,17,17,8
Apurímac,Cotabambas,Mara,308,17,17,8
Apurímac,Cotabambas,Challhuahuacho,309,17,17,8
Apurímac,Chincheros,Chincheros,310,17,17,8
Apurímac,Chincheros,Anco_Huallo,311,17,17,8
Apurímac,Chincheros,Cocharcas,312,17,17,8
Apurímac,Chincheros,Huaccana,313,17,17,8
Apurímac,Chincheros,Ocobamba,314,17,17,8
Apurímac,Chincheros,Ongoy,315,17,17,8
Apurímac,Chincheros,Uranmarca,316,17,17,8
Apurímac,Chincheros,Ranracancha,317,17,17,8
Apurímac,Chincheros,Rocchacc,318,17,17,8
Apurímac,Chincheros,El Porvenir,319,17,17,8
Apurímac,Grau,Chuquibambilla,320,17,17,8
Apurímac,Grau,Curpahuasi,321,17,17,8
Apurímac,Grau,Gamarra,322,17,17,8
Apurímac,Grau,Huayllati,323,17,17,8
Apurímac,Grau,Mamara,324,17,17,8
Apurímac,Grau,Micaela Bastidas,325,17,17,8
Apurímac,Grau,Pataypampa,326,17,17,8
Apurímac,Grau,Progreso,327,17,17,8
Apurímac,Grau,San Antonio,328,17,17,8
Apurímac,Grau,Santa Rosa,329,17,17,8
Apurímac,Grau,Turpay,330,17,17,8
Apurímac,Grau,Vilcabamba,331,17,17,8
Apurímac,Grau,Virundo,332,17,17,8
Apurímac,Grau,Curasco,333,17,17,8
Arequipa,Arequipa,Arequipa,334,17,17,8
Arequipa,Arequipa,Alto Selva Alegre,335,17,17,8
Arequipa,Arequipa,Cayma,336,17,17,8
Arequipa,Arequipa,Cerro Colorado,337,17,17,8
Arequipa,Arequipa,Characato,338,17,17,8
Arequipa,Arequipa,Chiguata,339,17,17,8
Arequipa,Arequipa,Jacobo Hunter,340,17,17,8
Arequipa,Arequipa,La Joya,341,17,17,8
Arequipa,Arequipa,Mariano Melgar,342,17,17,8
Arequipa,Arequipa,Miraflores,343,17,17,8
Arequipa,Arequipa,Mollebaya,344,17,17,8
Arequipa,Arequipa,Paucarpata,345,17,17,8
Arequipa,Arequipa,Pocsi,346,17,17,8
Arequipa,Arequipa,Polobaya,347,17,17,8
Arequipa,Arequipa,Quequeña,348,17,17,8
Arequipa,Arequipa,Sabandia,349,17,17,8
Arequipa,Arequipa,Sachaca,350,17,17,8
Arequipa,Arequipa,San Juan de Siguas,351,17,17,8
Arequipa,Arequipa,San Juan de Tarucani,352,17,17,8
Arequipa,Arequipa,Santa Isabel de Siguas,353,17,17,8
Arequipa,Arequipa,Santa Rita de Siguas,354,17,17,8
Arequipa,Arequipa,Socabaya,355,17,17,8
Arequipa,Arequipa,Tiabaya,356,17,17,8
Arequipa,Arequipa,Uchumayo,357,17,17,8
Arequipa,Arequipa,Vitor,358,17,17,8
Arequipa,Arequipa,Yanahuara,359,17,17,8
Arequipa,Arequipa,Yarabamba,360,17,17,8
Arequipa,Arequipa,Yura,361,17,17,8
Arequipa,Arequipa,José Luis Bustamante Y Rivero,362,17,17,8
Arequipa,Camaná,Camaná,363,17,17,8
Arequipa,Camaná,José María Quimper,364,17,17,8
Arequipa,Camaná,Mariano Nicolás Valcárcel,365,17,17,8
Arequipa,Camaná,Mariscal Cáceres,366,17,17,8
Arequipa,Camaná,Nicolás de Pierola,367,17,17,8
Arequipa,Camaná,Ocoña,368,17,17,8
Arequipa,Camaná,Quilca,369,17,17,8
Arequipa,Camaná,Samuel Pastor,370,17,17,8
Arequipa,Caravelí,Caravelí,371,17,17,8
Arequipa,Caravelí,Acarí,372,17,17,8
Arequipa,Caravelí,Atico,373,17,17,8
Arequipa,Caravelí,Atiquipa,374,17,17,8
Arequipa,Caravelí,Bella Unión,375,17,17,8
Arequipa,Caravelí,Cahuacho,376,17,17,8
Arequipa,Caravelí,Chala,377,17,17,8
Arequipa,Caravelí,Chaparra,378,17,17,8
Arequipa,Caravelí,Huanuhuanu,379,17,17,8
Arequipa,Caravelí,Jaqui,380,17,17,8
Arequipa,Caravelí,Lomas,381,17,17,8
Arequipa,Caravelí,Quicacha,382,17,17,8
Arequipa,Caravelí,Yauca,383,17,17,8
Arequipa,Castilla,Aplao,384,17,17,8
Arequipa,Castilla,Andagua,385,17,17,8
Arequipa,Castilla,Ayo,386,17,17,8
Arequipa,Castilla,Chachas,387,17,17,8
Arequipa,Castilla,Chilcaymarca,388,17,17,8
Arequipa,Castilla,Choco,389,17,17,8
Arequipa,Castilla,Huancarqui,390,17,17,8
Arequipa,Castilla,Machaguay,391,17,17,8
Arequipa,Castilla,Orcopampa,392,17,17,8
Arequipa,Castilla,Pampacolca,393,17,17,8
Arequipa,Castilla,Tipan,394,17,17,8
Arequipa,Castilla,Uñon,395,17,17,8
Arequipa,Castilla,Uraca,396,17,17,8
Arequipa,Castilla,Viraco,397,17,17,8
Arequipa,Caylloma,Chivay,398,17,17,8
Arequipa,Caylloma,Achoma,399,17,17,8
Arequipa,Caylloma,Cabanaconde,400,17,17,8
Arequipa,Caylloma,Callalli,401,17,17,8
Arequipa,Caylloma,Caylloma,402,17,17,8
Arequipa,Caylloma,Coporaque,403,17,17,8
Arequipa,Caylloma,Huambo,404,17,17,8
Arequipa,Caylloma,Huanca,405,17,17,8
Arequipa,Caylloma,Ichupampa,406,17,17,8
Arequipa,Caylloma,Lari,407,17,17,8
Arequipa,Caylloma,Lluta,408,17,17,8
Arequipa,Caylloma,Maca,409,17,17,8
Arequipa,Caylloma,Madrigal,410,17,17,8
Arequipa,Caylloma,San Antonio de Chuca,411,17,17,8
Arequipa,Caylloma,Sibayo,412,17,17,8
Arequipa,Caylloma,Tapay,413,17,17,8
Arequipa,Caylloma,Tisco,414,17,17,8
Arequipa,Caylloma,Tuti,415,17,17,8
Arequipa,Caylloma,Yanque,416,17,17,8
Arequipa,Caylloma,Majes,417,17,17,8
Arequipa,Condesuyos,Chuquibamba,418,17,17,8
Arequipa,Condesuyos,Andaray,419,17,17,8
Arequipa,Condesuyos,Cayarani,420,17,17,8
Arequipa,Condesuyos,Chichas,421,17,17,8
Arequipa,Condesuyos,Iray,422,17,17,8
Arequipa,Condesuyos,Río Grande,423,17,17,8
Arequipa,Condesuyos,Salamanca,424,17,17,8
Arequipa,Condesuyos,Yanaquihua,425,17,17,8
Arequipa,Islay,Mollendo,426,17,17,8
Arequipa,Islay,Cocachacra,427,17,17,8
Arequipa,Islay,Dean Valdivia,428,17,17,8
Arequipa,Islay,Islay,429,17,17,8
Arequipa,Islay,Mejia,430,17,17,8
Arequipa,Islay,Punta de Bombón,431,17,17,8
Arequipa,La Uniòn,Cotahuasi,432,17,17,8
Arequipa,La Uniòn,Alca,433,17,17,8
Arequipa,La Uniòn,Charcana,434,17,17,8
Arequipa,La Uniòn,Huaynacotas,435,17,17,8
Arequipa,La Uniòn,Pampamarca,436,17,17,8
Arequipa,La Uniòn,Puyca,437,17,17,8
Arequipa,La Uniòn,Quechualla,438,17,17,8
Arequipa,La Uniòn,Sayla,439,17,17,8
Arequipa,La Uniòn,Tauria,440,17,17,8
Arequipa,La Uniòn,Tomepampa,441,17,17,8
Arequipa,La Uniòn,Toro,442,17,17,8
Ayacucho,Huamanga,Ayacucho,443,17,17,8
Ayacucho,Huamanga,Acocro,444,17,17,8
Ayacucho,Huamanga,Acos Vinchos,445,17,17,8
Ayacucho,Huamanga,Carmen Alto,446,17,17,8
Ayacucho,Huamanga,Chiara,447,17,17,8
Ayacucho,Huamanga,Ocros,448,17,17,8
Ayacucho,Huamanga,Pacaycasa,449,17,17,8
Ayacucho,Huamanga,Quinua,450,17,17,8
Ayacucho,Huamanga,San José de Ticllas,451,17,17,8
Ayacucho,Huamanga,San Juan Bautista,452,17,17,8
Ayacucho,Huamanga,Santiago de Pischa,453,17,17,8
Ayacucho,Huamanga,Socos,454,17,17,8
Ayacucho,Huamanga,Tambillo,455,17,17,8
Ayacucho,Huamanga,Vinchos,456,17,17,8
Ayacucho,Huamanga,Jesús Nazareno,457,17,17,8
Ayacucho,Huamanga,Andrés Avelino Cáceres Dorregaray,458,17,17,8
Ayacucho,Cangallo,Cangallo,459,17,17,8
Ayacucho,Cangallo,Chuschi,460,17,17,8
Ayacucho,Cangallo,Los Morochucos,461,17,17,8
Ayacucho,Cangallo,María Parado de Bellido,462,17,17,8
Ayacucho,Cangallo,Paras,463,17,17,8
Ayacucho,Cangallo,Totos,464,17,17,8
Ayacucho,Huanca Sancos,Sancos,465,17,17,8
Ayacucho,Huanca Sancos,Carapo,466,17,17,8
Ayacucho,Huanca Sancos,Sacsamarca,467,17,17,8
Ayacucho,Huanca Sancos,Santiago de Lucanamarca,468,17,17,8
Ayacucho,Huanta,Huanta,469,17,17,8
Ayacucho,Huanta,Ayahuanco,470,17,17,8
Ayacucho,Huanta,Huamanguilla,471,17,17,8
